player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Hal Robson-Kanu,2016-2017,1.9389450326561928,3,0.8019470758736134,2
Michael Dawson,2016-2017,0.6878847917541862,3,0.24184428062289953,0
Granit Xhaka,2016-2017,0.9050191771239042,2,2.115309877321124,2
Steve Cook,2016-2017,1.6547151310369372,2,0.4837768152356148,0
Dan Gosling,2016-2017,1.4571668859571218,2,0.7769601587206125,0
Marc Pugh,2016-2017,1.6018409468233583,2,1.8786475490778685,2
Laurent Koscielny,2016-2017,1.329805064946413,2,0.1977360602468252,0
Danny Welbeck,2016-2017,3.465457946062088,2,1.159411571919918,2
Calum Chambers,2016-2017,0.8403270393610001,2,0.6078128237277269,1
Connor Wickham,2016-2017,1.0896473955363035,2,0,0
Winston Reid,2016-2017,0.8129213629290462,2,0.9388463040813804,2
Dimitri Payet,2016-2017,3.223100183531642,2,5.917082831263542,6
José Holebas,2016-2017,0.923608616925776,2,2.9176331544294953,4
Leighton Baines,2016-2017,2.750922109000385,2,2.6850184742361307,3
Gareth Barry,2016-2017,0.8615360390394926,2,1.3470328552648425,1
Dejan Lovren,2016-2017,1.1365952678024769,2,0.44400021620094776,1
Fernandinho,2016-2017,3.2935857782140374,2,2.466229073703289,1
Wilfried Bony,2016-2017,2.4631328359246254,2,0.835675735026598,0
Danny Rose,2016-2017,0.8990537421777844,2,1.3458638386800883,2
Eric Dier,2016-2017,1.587278407998383,2,0.7489535212516785,0
James Collins,2016-2017,1.055944805033505,2,0.1963449977338314,0
Younes Kaboul,2016-2017,1.4167472152039409,2,0.0675263674929738,0
Fabio Borini,2016-2017,2.044636808335781,2,0.5919889751821756,0
Robert Huth,2016-2017,2.030397217720747,2,1.554764736443758,2
Christian Fuchs,2016-2017,1.3513163104653358,2,3.4672681894153357,4
Marc Albrighton,2016-2017,1.28253738489002,2,4.63804021012038,6
Daryl Janmaat,2016-2017,1.4704556232318282,2,1.5475112181156874,1
Martin Olsson,2016-2017,0.7015488259494305,2,0.39556751772761345,0
Jonny Evans,2016-2017,1.8058079509064555,2,0.3334588399156928,1
